"numeroEvento","fechaInicio","fechaFin","duracionMinutos","codigoEstacionMayorAcumulado","valorMayorAcumulado","codigoEstacionMayorIntensidad","valorMayorIntensidad"
24,2012-08-17 16:30:00.000,2012-08-17 18:15:00.000,105.000000000000000,43,12.400000000000000,3,96.000000000000000
25,2012-08-18 21:30:00.000,2012-08-19 00:10:00.000,160.000000000000000,47,12.200000000000000,14,28.800000000000000
26,2012-08-19 23:25:00.000,2012-08-20 03:00:00.000,215.000000000000000,10,8.100000000000000,30,42.000000000000000
27,2012-08-20 20:25:00.000,2012-08-20 22:30:00.000,125.000000000000000,47,14.000000000000000,47,84.000000000000000
28,2012-08-22 14:15:00.000,2012-08-22 17:15:00.000,180.000000000000000,7,38.100000000000000,39,90.000000000000000
29,2012-08-22 19:40:00.000,2012-08-22 22:15:00.000,155.000000000000000,30,16.300000000000000,30,60.000000000000000
30,2012-08-23 01:00:00.000,2012-08-23 05:00:00.000,240.000000000000000,52,17.500000000000000,-9999,-9999.000000000000000
31,2012-08-23 13:50:00.000,2012-08-23 16:20:00.000,150.000000000000000,63,9.400000000000000,63,60.000000000000000
32,2012-08-24 08:30:00.000,2012-08-24 12:00:00.000,210.000000000000000,11,10.000000000000000,4,36.000000000000000
33,2012-08-24 16:50:00.000,2012-08-24 19:00:00.000,130.000000000000000,14,20.600000000000000,63,126.000000000000000
34,2012-08-26 01:15:00.000,2012-08-26 03:40:00.000,145.000000000000000,30,28.200000000000000,30,40.000000000000000
35,2012-08-05 15:00:00.000,2012-08-05 16:00:00.000,60.000000000000000,50,15.800000000000000,19,11.500000000000000
36,2012-09-07 14:30:00.000,2012-09-07 16:45:00.000,135.000000000000000,29,21.600000000000000,29,96.000000000000000
37,2012-09-08 18:10:00.000,2012-09-08 19:00:00.000,50.000000000000000,52,4.800000000000000,52,36.000000000000000
38,2012-09-09 22:30:00.000,2012-09-10 01:10:00.000,160.000000000000000,64,16.800000000000000,52,48.000000000000000
39,2012-09-12 18:15:00.000,2012-09-12 19:50:00.000,95.000000000000000,57,11.900000000000000,57,48.000000000000000
40,2012-09-17 14:20:00.000,2012-09-17 16:30:00.000,130.000000000000000,33,48.000000000000000,58,261.000000000000000
41,2012-09-17 20:45:00.000,2012-09-18 00:00:00.000,195.000000000000000,30,19.600000000000000,30,72.000000000000000
42,2012-09-20 05:30:00.000,2012-09-20 08:10:00.000,160.000000000000000,26,11.900000000000000,26,84.000000000000000
43,2012-09-20 13:50:00.000,2012-09-20 15:25:00.000,95.000000000000000,49,22.100000000000000,49,78.000000000000000
44,2012-09-20 21:40:00.000,2012-09-21 02:30:00.000,290.000000000000000,30,23.900000000000000,30,63.600000000000000
45,2012-09-21 15:00:00.000,2012-09-21 15:45:00.000,45.000000000000000,33,7.100000000000000,33,25.000000000000000
46,2012-09-21 16:25:00.000,2012-09-21 17:20:00.000,55.000000000000000,51,19.600000000000000,51,180.000000000000000
47,2012-09-21 17:30:00.000,2012-09-21 18:30:00.000,60.000000000000000,29,35.600000000000000,29,102.000000000000000
48,2012-09-21 21:00:00.000,2012-09-22 00:00:00.000,180.000000000000000,20,14.200000000000000,54,96.000000000000000
49,2012-09-24 11:15:00.000,2012-09-24 13:30:00.000,135.000000000000000,46,11.700000000000000,46,56.400000000000000
50,2012-09-24 13:30:00.000,2012-09-24 17:00:00.000,210.000000000000000,40,29.200000000000000,4,126.000000000000000
51,2012-09-26 13:00:00.000,2012-09-26 14:15:00.000,75.000000000000000,33,16.600000000000000,62,78.000000000000000
52,2012-09-28 12:50:00.000,2012-09-28 13:40:00.000,50.000000000000000,42,13.200000000000000,5,60.000000000000000
53,2012-09-28 15:10:00.000,2012-09-28 17:00:00.000,110.000000000000000,46,26.700000000000000,46,80.000000000000000
54,2012-10-02 02:00:00.000,2012-10-02 04:20:00.000,140.000000000000000,51,32.300000000000000,72,132.000000000000000
55,2012-10-03 23:00:00.000,2012-10-04 01:20:00.000,140.000000000000000,66,7.400000000000000,47,18.000000000000000
56,2012-10-04 13:15:00.000,2012-10-04 15:45:00.000,150.000000000000000,41,12.400000000000000,41,84.000000000000000
57,2012-10-04 17:30:00.000,2012-10-04 18:30:00.000,60.000000000000000,30,38.100000000000000,30,108.000000000000000
58,2012-10-05 02:10:00.000,2012-10-05 03:00:00.000,50.000000000000000,72,21.300000000000000,72,78.000000000000000
59,2012-10-05 12:45:00.000,2012-10-05 14:45:00.000,120.000000000000000,10,39.900000000000000,29,144.000000000000000
60,2012-10-06 04:00:00.000,2012-10-06 06:40:00.000,160.000000000000000,4,25.100000000000000,4,78.000000000000000
61,2012-10-06 15:30:00.000,2012-10-06 18:10:00.000,160.000000000000000,25,21.800000000000000,26,61.200000000000000
62,2012-10-06 20:00:00.000,2012-10-06 22:55:00.000,175.000000000000000,57,6.400000000000000,-9999,15.000000000000000
63,2012-10-07 02:00:00.000,2012-10-07 05:00:00.000,180.000000000000000,47,39.400000000000000,47,88.800000000000000
64,2012-10-07 08:30:00.000,2012-10-07 10:30:00.000,120.000000000000000,30,13.000000000000000,30,24.000000000000000
66,2012-10-08 14:30:00.000,2012-10-08 17:00:00.000,150.000000000000000,52,7.600000000000000,57,72.000000000000000
67,2012-10-11 15:30:00.000,2012-10-11 18:00:00.000,150.000000000000000,5,26.400000000000000,52,97.200000000000000
68,2012-10-12 14:50:00.000,2012-10-12 17:00:00.000,130.000000000000000,39,57.900000000000000,39,132.000000000000000
